epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3488.08,0.88475,0.58821,1.01244,0.87335,0.79252,0.84417,0.58194,1.09092,0.69988,1.07232,8.04762e-05,8.04762e-05,8.04762e-05
60,3546.77,0.88341,0.58364,1.01195,0.86475,0.79214,0.83374,0.57541,1.09247,0.71764,1.07469,7.86051e-05,7.86051e-05,7.86051e-05
61,3605.54,0.87836,0.57939,1.00817,0.88228,0.79369,0.8499,0.58609,1.08791,0.68839,1.07198,7.6734e-05,7.6734e-05,7.6734e-05
62,3664.25,0.87978,0.57837,1.01124,0.87715,0.78891,0.84529,0.58536,1.08772,0.69529,1.07431,7.48629e-05,7.48629e-05,7.48629e-05
63,3723.02,0.88343,0.58006,1.01403,0.87575,0.7941,0.84969,0.58733,1.08819,0.68695,1.06979,7.29918e-05,7.29918e-05,7.29918e-05
64,3781.48,0.8774,0.57259,1.0099,0.87294,0.79179,0.83769,0.58021,1.09105,0.70472,1.07613,7.11207e-05,7.11207e-05,7.11207e-05
65,3840.23,0.87658,0.57154,1.00979,0.87846,0.79679,0.84484,0.58351,1.09056,0.70301,1.07395,6.92496e-05,6.92496e-05,6.92496e-05
66,3899.07,0.87767,0.5723,1.01104,0.87543,0.78978,0.84857,0.58649,1.09043,0.70011,1.07449,6.73785e-05,6.73785e-05,6.73785e-05
67,3957.58,0.87134,0.56863,1.00609,0.8603,0.8091,0.84375,0.5831,1.09005,0.69763,1.07459,6.55074e-05,6.55074e-05,6.55074e-05
68,4016.26,0.87084,0.56443,1.0065,0.87186,0.81196,0.85539,0.58819,1.08653,0.6822,1.07079,6.36363e-05,6.36363e-05,6.36363e-05
69,4075.05,0.86934,0.56323,1.00482,0.88514,0.77935,0.84255,0.58176,1.08709,0.69936,1.07308,6.17652e-05,6.17652e-05,6.17652e-05
70,4134.02,0.86787,0.56304,1.00497,0.87259,0.79258,0.83718,0.58228,1.08808,0.7006,1.07474,5.98941e-05,5.98941e-05,5.98941e-05
71,4192.75,0.86439,0.55767,1.00495,0.88008,0.80121,0.84553,0.58818,1.08605,0.6953,1.07307,5.8023e-05,5.8023e-05,5.8023e-05
72,4253.1,0.86227,0.55993,1.00476,0.87456,0.80929,0.84935,0.58765,1.08705,0.69235,1.07266,5.61519e-05,5.61519e-05,5.61519e-05
73,4312.46,0.85631,0.55323,1.00274,0.87414,0.80673,0.84276,0.5834,1.08849,0.69837,1.07517,5.42808e-05,5.42808e-05,5.42808e-05
74,4371.22,0.85923,0.55291,1.00223,0.87106,0.81355,0.84921,0.58901,1.08565,0.68619,1.07307,5.24097e-05,5.24097e-05,5.24097e-05
75,4430.08,0.85363,0.54824,1.00074,0.87703,0.80577,0.8439,0.58604,1.09315,0.6953,1.07561,5.05386e-05,5.05386e-05,5.05386e-05
76,4489.02,0.85607,0.54979,1.00294,0.86934,0.8106,0.84688,0.58427,1.0917,0.69551,1.07702,4.86675e-05,4.86675e-05,4.86675e-05
77,4547.98,0.85809,0.55089,0.99995,0.87467,0.80855,0.85065,0.59123,1.08613,0.68522,1.07276,4.67964e-05,4.67964e-05,4.67964e-05
78,4606.89,0.85868,0.54809,1.00368,0.87661,0.81674,0.85106,0.58833,1.08619,0.69017,1.07569,4.49253e-05,4.49253e-05,4.49253e-05
79,4665.82,0.85258,0.54916,1.00065,0.88093,0.80347,0.8456,0.58672,1.08555,0.69536,1.07249,4.30542e-05,4.30542e-05,4.30542e-05
80,4724.6,0.85052,0.54164,0.99814,0.8754,0.80886,0.84618,0.58618,1.08931,0.68908,1.07679,4.11831e-05,4.11831e-05,4.11831e-05
81,4783.56,0.84822,0.54276,0.99777,0.88138,0.80356,0.84286,0.58612,1.08567,0.68869,1.07437,3.9312e-05,3.9312e-05,3.9312e-05
82,4842.44,0.85584,0.54099,0.99569,0.87451,0.81636,0.8453,0.58684,1.0846,0.69176,1.07448,3.74409e-05,3.74409e-05,3.74409e-05
83,4901.27,0.84759,0.5388,0.99922,0.87904,0.8082,0.84497,0.58943,1.08369,0.69296,1.0744,3.55698e-05,3.55698e-05,3.55698e-05
84,4960.06,0.84782,0.53455,0.99631,0.87332,0.82103,0.84884,0.58896,1.08487,0.68691,1.07503,3.36987e-05,3.36987e-05,3.36987e-05
